320,192,8,5,0,0:0:0:0:
448,192,8,1,0,0:0:0:0:
320,192,323,1,0,0:0:0:0:
192,192,639,1,0,0:0:0:0:
448,192,639,1,0,0:0:0:0:
64,192,639,1,0,0:0:0:0:
320,192,955,1,0,0:0:0:0:
192,192,1271,1,0,0:0:0:0:
64,192,1271,1,0,0:0:0:0:
320,192,1586,1,0,0:0:0:0:
64,192,1902,1,0,0:0:0:0:
192,192,1902,1,0,0:0:0:0:
448,192,1902,1,0,0:0:0:0:
192,192,2218,1,0,0:0:0:0:
64,192,2534,1,0,0:0:0:0:
320,192,2534,1,0,0:0:0:0:
448,192,2850,1,0,0:0:0:0:
320,192,3165,1,0,0:0:0:0:
192,192,3165,1,0,0:0:0:0:
64,192,3165,1,0,0:0:0:0:
192,192,3481,1,0,0:0:0:0:
64,192,3797,1,0,0:0:0:0:
448,192,3797,1,0,0:0:0:0:
320,192,4113,1,0,0:0:0:0:
192,192,4429,1,0,0:0:0:0:
64,192,4429,1,0,0:0:0:0:
448,192,4429,1,0,0:0:0:0:
320,192,4744,1,0,0:0:0:0:
320,192,5060,1,0,0:0:0:0:
448,192,5060,1,0,0:0:0:0:
64,192,5060,1,0,0:0:0:0:
192,192,5376,1,0,0:0:0:0:
320,192,5692,1,0,0:0:0:0:
448,192,5692,1,0,0:0:0:0:
192,192,5850,1,0,0:0:0:0:
64,192,6007,1,0,0:0:0:0:
64,192,6323,1,0,0:0:0:0:
320,192,6323,1,0,0:0:0:0:
448,192,6323,1,0,0:0:0:0:
192,192,6639,1,0,0:0:0:0:
320,192,6955,1,0,0:0:0:0:
448,192,6955,1,0,0:0:0:0:
64,192,7113,1,0,0:0:0:0:
192,192,7271,1,0,0:0:0:0:
64,192,7586,1,0,0:0:0:0:
320,192,7586,1,0,0:0:0:0:
448,192,7586,1,0,0:0:0:0:
192,192,7902,1,0,0:0:0:0:
64,192,8218,1,0,0:0:0:0:
448,192,8218,1,0,0:0:0:0:
320,192,8376,1,0,0:0:0:0:
192,192,8534,1,0,0:0:0:0:
64,192,8534,1,0,0:0:0:0:
320,192,8692,1,0,0:0:0:0:
192,192,8850,1,0,0:0:0:0:
448,192,8850,1,0,0:0:0:0:
192,192,9165,1,0,0:0:0:0:
64,192,9165,1,0,0:0:0:0:
64,192,9481,1,0,0:0:0:0:
448,192,9481,1,0,0:0:0:0:
192,192,9797,1,0,0:0:0:0:
320,192,9797,1,0,0:0:0:0:
64,192,9955,1,0,0:0:0:0:
192,192,9955,1,0,0:0:0:0:
448,192,10113,1,0,0:0:0:0:
192,192,10113,1,0,0:0:0:0:
